,,,,,Paper Information,,,,,,,,Population Information,,,,,,,,,,,,,Demographic Characteristics,,,,,,,Exposure history,,,,,,,,,,,Comorbidities,,,,,,,,,,,,Symptoms,,,,,,,,,,,,,,,,,,,,,,,Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatments,,,,,,,,,,,,,,,,,,Medical Outcomes,,,,,,,,,,,,,,Outcomes,,,,,,,,Outcomes (Imaging),,
3,3,China,Wuhan,30,"Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study",Lancet Infectious Diseases,Shi et. al.,https://reader.elsevier.com/reader/sd/pii/S1473309920300864?token=A0D8E0A815A81A197FBA5FBC028C41D29B7899BFA37779DD83AA14652314A5C8D415DCB92CEEC6704387954EBD8E0864,English,Subgroup 3,Ryan,,12/20/2019,2/8/2020,50,Subgroup,Scans done 1-2 weeks after symptom onset,Positive only,End-point and active,Both,Both,No,Both,All,Both,,52.3,13,,,,67.00%,47.00%,47.00%,,,,,,,,,,,,30.00%,23%,10%,10%,,10%,7%,,10%,20%,,,,90.00%,,38.2,70.00%,43.00%,7.00%,20.00%,13.00%,5%,,3.00%,7.00%,0%,,,,0%,,,,8.4,4.9,11.9,119.6,,106.8,132.4,1,,,1.1,0.8,1.4,206.8,,110.7,302.9,11.9,8,15.8,,48.7,42.7,,71.3,,,,,,,,,,29.60%,,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67%,,,,
3,4,China,Wuhan,15,"Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study",Lancet Infectious Diseases,Shi et. al.,https://reader.elsevier.com/reader/sd/pii/S1473309920300864?token=A0D8E0A815A81A197FBA5FBC028C41D29B7899BFA37779DD83AA14652314A5C8D415DCB92CEEC6704387954EBD8E0864,English,Subgroup 4,Ryan,,12/20/2019,2/8/2020,50,Subgroup,Scans done >2 weeks after symptom onset,Positive only,End-point and active,Both,Both,No,Both,All,Both,,49.5,11,,,,47.00%,60.00%,60.00%,,,,,,,,,,,,20.00%,13%,13%,7%,,13%,0%,,0%,20%,,,,93.00%,,38.5,80.00%,80.00%,7.00%,40.00%,13.00%,13%,,7.00%,0.00%,0%,,,,0%,,,,8.2,4,12.4,124.8,,115.7,133.9,1,,,1.1,0.8,1.4,230.5,,95.7,365.3,na,na,na,,50.6,37.8,,49.8,,,,,,,,,,21.60%,,53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67%,,,,
4,0,China,Zhejiang,149,"Clinical characteristics and imaging manifestations of the 2019 novel coronavirus disease (COVID-19):A multi-center study in Wenzhou city, Zhejiang, China",Journal of Infection,Yang et al.,https://reader.elsevier.com/reader/sd/pii/S0163445320300992?token=9163263C94899C48B765689929BEFCC2B1AD126DCC83E3753645A68BB99CF497BB124D1BB7AB61F22F586414124183AD,English,"Retrospective multi-center cohort study, Only positive cases, most not severe, over half still in hospital at end, until Feb 15th, 2020",Matthew,Cynthia,1/17/2020,2/15/2020,29,Top-level,,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Both,,45.11,,,,0%,54.40%,89.90%,53.69%,32.89%,,,,,6.83,,,,,,34.90%,,,,,,,,,,,,,76.50%,37.86,,58.40%,1.34%,8.72%,32.20%,3.36%,,,7.38%,1.34%,,14.09%,14.09%,,,,,,4.56,2.08,6.64,,,,,,,66.07,1.21,0.53,1.89,174.5,,96.25,252.75,9.9,3.95,15.85,2.6,20,23,5.83,7.25,,,,,,,,,,,,,,,,22.82%,93.96%,,,,,,,12.75%,,89.93%,1.34%,,0%,,3.36%,,,,,,,,,,,,,,,,,100%,0%,48.99%,,,,0.00%,0.00%,,,
5,0,China,Wuhan,21,Time Course of Lung Changes On Chest CT During Recovery From 2019 Novel Coronavirus (COVID-19) Pneumonia,Radiology,Pan et. al.,https://pubs.rsna.org/doi/full/10.1148/radiol.2020200370,English,,Ryan,,1/12/2020,2/6/2020,25,Top-level,Non-severe only,Positive only,End-point only,Both,Discharged only,No,ΝΑ,Mild only,Both,40,40,9,30,57,,29.00%,,,,,,,,,6,5,7,,,,,,,,,,,,,,,,86%,,,57%,,,,24%,52%,,,,43%,,29%,,,0%,0%,0%,4.9,4.1,5.7,,,,,1,,,1.4,1,1.8,,,,,,,,3.1,42,32,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,17,,0.00%,0.00%,,,
6,0,China,Beijing,77,Clinical characteristics and durations of hospitalized patients with COVID-19 in Beijing: a retrospective cohort study,MedrXiv,Zhao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.13.20035436v1.full.pdf,English,,Ryan,,1/21/2020,2/7/2020,17,Top-level,General,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,52,52,20,,,2.60%,44.16%,89.60%,70.10%,19.50%,4,4,3.5,6,5,5,3,6,,,31.20%,20.80%,7.80%,11.70%,,7.79%,,,6.50%,,,,,85.70%,,,63.64%,20.80%,13.00%,,27.30%,27.30%,,1.30%,7.79%,9.10%,6.50%,,,0.00%,25.97%,,,4.04,3.48,5.58,137,,125,145,0,,,,,,190,,149,245,,,,,28,29,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90%,,2.60%,1.30%,32.47%,,,2.60%,3.90%,,,100.00%,,83.10%,,13,,6.49%,7.24%,,,
6,1,China,Beijing,58,Clinical characteristics and durations of hospitalized patients with COVID-19 in Beijing: a retrospective cohort study,MedrXiv,Zhao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.13.20035436v1.full.pdf,English,Non-severe,Ryan,,1/21/2020,2/7/2020,17,Subgroup,Non-severe only,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,NA,45,45,17,,,3.50%,40.40%,91.20%,77.20%,14%,5,5,3.5,6,5,5,4,6,,,24.60%,14%,7.00%,5.30%,,5.30%,,,3.50%,,,,,82.50%,,,57.90%,14%,17.50%,,33.30%,33.30%,,1.80%,5.30%,7%,9%,,,0%,0%,0%,0.00%,3.95,3.45,4.64,139,,127,144,0,,,,,,189,,152,245,,,,,28,28,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,0.00%,0.00%,33.30%,,,1.80%,0.00%,,,100%,,93.10%,,12,,0.00%,0.00%,,,
6,2,China,Beijing,20,Clinical characteristics and durations of hospitalized patients with COVID-19 in Beijing: a retrospective cohort study,MedrXiv,Zhao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.13.20035436v1.full.pdf,English,severe,Ryan,,1/21/2020,2/7/2020,17,Subgroup,Severe,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,NA,69,69,15,,,0%,55.00%,85%,50%,35%,3.5,3.5,3,4,6,6,5,7,,,50%,40%,10.00%,30.00%,,15.00%,,,15%,,,,,95%,,,80.00%,40%,0.00%,,10.00%,10.00%,,0.00%,15.00%,15%,0%,,,0%,100%,,,5.92,3.68,7.59,137,,119,148,0,,,,,,198,,134,272,,,,,32,36,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00%,,10.00%,5.00%,30.00%,,,5.00%,15.00%,,,100%,,50%,,18.5,,25.00%,33.33%,,,
7,0,China,Wuhan,36,Effect of continuous renal replacement therapy on all-cause mortality in COVID-19 patients undergoing invasive mechanical ventilation: a retrospective cohort study,MedrXiv,Yang et. al.,https://www.medrxiv.org/content/10.1101/2020.03.16.20036780v1.full.pdf,English,"Conditioned on patients who required invasive ventilation, so high death rate",Ryan,,2/12/2020,3/2/2020,19,Top-level,Severe,Positive only,End-point and active,Both,Both,Yes,ICU only,Severe/Critical Only,Ventilation only,69.4,69.4,21.16368,,,,83.30%,,,,,,,,,,,,,,,38.90%,27.80%,33.30%,,19.40%,5.60%,,,19.44%,,,,,,,,100%,,,,,,,,,,,,,100%,0%,100.00%,14,6.9,21.1,122.4,,104.3,140.5,0,,,0.6,0.3,0.9,156,,99.8,213,,,,12.7,34.5,30.5,,,,,,,,,,,,,,,,,,94.40%,77.78%,,,,,,80.60%,80.60%,,,0%,100%,,,61.10%,,,,,,,,19.44%,,,,,22.22%,,,,100%,100%,na,,,,63.89%,,,,
8,0,Italy,Nationwide,3200,"Characteristics of COVID-19 patients dying in Italy Report based on available data on March 20th, 2020",COVID-19 Surveillance Group,Palmieri et. al.,https://www.epicentro.iss.it/coronavirus/bollettino/Report-COVID-2019_20_marzo_eng.pdf,English,Conditioned on deceased patients only,Ryan,,3/1/2020,3/20/2020,19,Subgroup,Severe,Positive only,End-point only,Non-Survivors only,Both,No,ΝΑ,Severe/Critical Only,NA,78.5,80,,73,85,,70.60%,,,,,,,,4,,,,,,98.80%,73.80%,33.90%,30.10%,,13.70%,19.50%,,20.20%,3.70%,,,,76.00%,,,40%,73.00%,,,,,,8.00%,,,,,,0.00%,100.00%,0.00%,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84%,54%,,,,,,,,,,,,,,,,,,96.50%,,96.50%,,,,,,10.40%,29.20%,8.50%,,,100.00%,50.00%,0%,5,4,,100.00%,100.00%,,,
9,0,China,Zhejiang,91,"Epidemiologic and Clinical Characteristics of 91 Hospitalized Patients with COVID-19 in Zhejiang, China: A retrospective, multi-centre case series",,,https://www.medrxiv.org/content/10.1101/2020.02.23.20026856v2.full.pdf,English,"Retrospective, multicentre study until  until Feb 16th, 2020, contains age breakdowns, breakdown of lab measurements by mild vs severe",Matthew,,1/20/2020,2/16/2020,27,Top-level,,Positive only,End-point and active,Survivors only,Both,Yes,,All,NA,50,,,36.5,57,0%,40.66%,98.90%,34.07%,8.79%,,6,,,,,,,,,,16.48%,8.79%,,,,,,,,,,,71.43%,,,60.44%,3.30%,7.69%,32.97%,5.49%,43.96%,,23.08%,6.59%,25.27%,,,,,90.10%,9.90%,,4.99,4.25,5.69,135,,125,145,1,,,1.35,0.98,1.66,196,,142,238,,,,2.91,18,21,,6.81,,,,,,,,,,,,,,,,,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,9.89%,34.07%,,,,0.00%,0.00%,,,
9,1,China,Zhejiang,9,"Epidemiologic and Clinical Characteristics of 91 Hospitalized Patients with COVID-19 in Zhejiang, China: A retrospective, multi-centre case series",,,https://www.medrxiv.org/content/10.1101/2020.02.23.20026856v2.full.pdf,English,"Retrospective, multicentre study until  until Feb 16th, 2020, contains age breakdowns, breakdown of lab measurements by mild vs severe",Matthew,,1/20/2020,2/16/2020,27,Subgroup,Severe Cases,Positive only,End-point and active,Survivors only,Both,,,Severe/Critical Only,,66,,,54,80,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,0.00%,,5.23,3,5.82,130,,118,142,1,,,0.9,0.7,1.3,152,,127,208,,,,3.32,19.9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,,na,,,,0.00%,,,,
9,2,China,Zhejiang,82,"Epidemiologic and Clinical Characteristics of 91 Hospitalized Patients with COVID-19 in Zhejiang, China: A retrospective, multi-centre case series",,,https://www.medrxiv.org/content/10.1101/2020.02.23.20026856v2.full.pdf,English,"Retrospective, multicentre study until  until Feb 16th, 2020, contains age breakdowns, breakdown of lab measurements by mild vs severe",Matthew,,1/20/2020,2/16/2020,27,Subgroup,Mild Cases,Positive only,End-point and active,Survivors only,Both,,,Mild only,,49,,,35.3,56,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,100.00%,,4.97,4.02,5.65,135,,126,147,1,,,1.4,1.05,1.75,198,,144,248,,,,2.8,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,,na,,,,0.00%,,,,
10,0,China,Seven hospitals,62,"Clinical findings in a group of patients infected with the 2019 novel coronavirus (SARS-Cov-2) outside of Wuhan, China: retrospective case series",BMJ,Xu et. al.,https://www.bmj.com/content/bmj/368/bmj.m606.full.pdf,English,Limitation: most patients still in hospital when study concluded,Ryan,,1/10/2020,1/26/2020,16,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,41,41,,32,52,,56%,37%,37%,,4,4,3,5,2,2,1,4.3,,,32.00%,8.00%,2.00%,2%,,2%,,,2%,11%,3%,,,77.00%,,,81.00%,3.00%,34.00%,,52%,52%,,8.00%,,,,,,,,,,4.7,3.5,5.8,137,,128.8,152.3,0,,,1,0.8,1.5,176,,135.8,215.5,,,,2.9,22,26,,,,,,,,,,,,34%,,16%,,,,45%,89%,6%,,,,,26%,26%,,,,1.61%,,,,,,,,,2.00%,,,,,,,,,,,100.00%,1.61%,2%,,,,0.00%,,,,
10,1,China,Seven hospitals,33,"Clinical Findings in a group of patients infected with the 2019 novel coronavirus (SARS-Cov-2) outside of Wuhan, China: retrospective case series",BMJ,Xu et. al.,https://www.bmj.com/content/bmj/368/bmj.m606.full.pdf,English,Subgroup >10 days,Ryan,,1/10/2020,1/26/2020,16,Subgroup,> 10 days after onset,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,45,45,,37,54,,58.00%,27%,27%,,3,3,3,4,6.5,6.5,5,9,,,39%,12.00%,2.00%,3.00%,,3%,,,0.00%,12.00%,3%,,,73.00%,,,82.00%,6.00%,45.00%,,58.00%,58.00%,,9.00%,,,,,,,,,,4.5,3.1,6.1,137.5,,129,149.5,0,,,1,0.7,1.4,172.5,,128.8,202.8,,,,2.8,22.5,27.5,,,,,,,,,,,,36%,,15%,,,,48.00%,94%,9%,,,,,33.00%,33.00%,,,,3%,,,,,,,,,3.00%,,,,,,,,,,,100.00%,3.00%,3%,,,,0.00%,,,,
10,2,China,Seven hospitals,29,"Clinical Findings in a group of patients infected with the 2019 novel coronavirus (SARS-Cov-2) outside of Wuhan, China: retrospective case series",BMJ,Xu et. al.,https://www.bmj.com/content/bmj/368/bmj.m606.full.pdf,English,Subgroup <=10 days,Ryan,,1/10/2020,1/26/2020,16,Subgroup,<=10 days after onset,Positive only,Active only,Both,Non-discharged only,Yes,Both,All,Both,39,39,,31,50,,55.00%,48%,48%,,5,5,4,7,2,2,1,2,,,24.00%,3.00%,3.00%,0.00%,,0%,,,0.00%,10.00%,3%,,,83.00%,,,79.00%,0.00%,21.00%,,45.00%,45.00%,,0.00%,,,,,,,,,,4.9,3.9,5.7,136.5,,127.3,153.8,0,,,1,0.9,1.5,186,,149,228,,,,2.9,22,25,,,,,,,,,,,,30.40%,,17%,,,,41.00%,83%,3%,,,,,17.00%,17.00%,,,,0%,,,,,,,,,0.00%,,,,,,,,,,,100.00%,0.00%,0%,,,,0.00%,,,,
