Study start date (mm/dd/yyyy),Study end date (mm/dd/yyyy),Study length (days),Is top-level row?,Subgroup,Positive/negative cases,End-point vs Active,Survivors,Discharged,Contains Any Treatment?,ICU vs. non-ICU,Severity,Ventilation,Median Age,Mean Age
12/8/19,2/6/20,60,Top-level,All,Positive only,End-point and active,Survivors only,,No,Non-ICU only,Mild only,Non-ventilation only,0.58,0.56
12/26/19,1/7/20,12,Top-level,All,Positive only,Active only,Survivors only,Non-discharged only,Yes,ICU only,Severe/Critical Only,Ventilation only,41,41
1/1/20,2/11/20,41,Top-level,All,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Severe/Critical Only,,,
1/1/20,2/11/20,41,Subgroup,Survivors,Positive only,End-point and active,Survivors only,Both,Yes,ΝΑ,Severe/Critical Only,,,
1/1/20,2/11/20,41,Subgroup,Non-survivors,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,ΝΑ,Severe/Critical Only,,,
1/21/20,2/16/20,26,Top-level,General,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,37,
1/20/20,1/31/20,11,Top-level,General,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,50.5,
1/20/20,1/31/20,11,Subgroup,Abnormal liver,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,,
1/20/20,1/31/20,11,Subgroup,Normal liver,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,,
1/11/20,2/10/20,30,Top-level,Only non-survivors,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,Both,Severe/Critical Only,Both,72.5,
2/12/20,3/19/20,36,Top-level,All Survive,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,Mild only,,,
2/12/20,3/19/20,36,Subgroup,Naive,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,Mild only,,31,
2/12/20,3/19/20,36,Subgroup,Experienced,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,Mild only,,44,
1/12/20,2/13/20,32,Subgroup,Confirmed,Positive only,Active only,Survivors only,Non-discharged only,Yes,Both,All,Both,43.8,
1/1/20,3/1/20,60,Top-level,,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,,
1/1/20,3/1/20,60,Subgroup,Asymptomatic 0-14,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,,,
1/1/20,3/1/20,60,Subgroup,Asymptomatic 15-29,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,,,
1/1/20,3/1/20,60,Subgroup,Asymptomatic 30-39,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,,,
1/1/20,3/1/20,60,Subgroup,Asymptomatic 40-49,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,,,
1/1/20,3/1/20,60,Subgroup,Asymptomatic 50-59,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,,,
1/1/20,3/1/20,60,Subgroup,Asymptomatic 70+,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,,,
1/1/20,3/1/20,60,Subgroup,Severe 30-39,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,,,
1/1/20,3/1/20,60,Subgroup,Severe 40-49,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,,,
1/1/20,3/1/20,60,Subgroup,Severe 50-59,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,,,
1/1/20,3/1/20,60,Subgroup,Severe 60-69,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,,,
1/1/20,3/1/20,60,Subgroup,Severe 70-79,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,,,
1/30/20,2/25/20,26,Top-level,General,Positive only,End-point only,Both,Both,Yes,Both,All,,,56
1/30/20,2/25/20,26,Subgroup,Died,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,Both,All,,,71
1/30/20,2/25/20,26,Subgroup,Discharged,Positive only,End-point only,Both,Discharged only,Yes,Both,All,,,49
1/20/20,2/27/20,38,Top-level,,Positive only,End-point only,Both,Discharged only,Yes,ΝΑ,All,,,6
2/11/20,2/26/20,15,Top-level,General,Positive only,,Survivors only,Both,,,All,,68,
2/11/20,2/26/20,15,Subgroup,"Non-severe (asymptomatic, mild)",Positive only,,Survivors only,Both,,,Mild only,,66.5,
2/11/20,2/26/20,15,Subgroup,Severe,Positive only,,Survivors only,Both,,,Severe/Critical Only,,72.5,
2/11/20,2/26/20,15,Top-level,,Positive only,,Both,Both,No,,All,,,
2/11/20,2/26/20,15,Subgroup,Died,Positive only,,Non-Survivors only,Non-discharged only,No,,All,,77,
2/1/20,2/20/20,19,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,4,3.39
1/1/20,2/25/20,55,Top-level,All,Positive only,End-point only,Both,Both,Yes,Both,All,Both,66,
1/1/20,2/25/20,55,Subgroup,non-diabetic,Positive only,End-point only,Both,Both,Yes,Both,All,Both,66,
1/1/20,2/25/20,55,Subgroup,diabetic ,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,66,
1/1/20,2/25/20,55,Subgroup,diabetic - survivors,Positive only,End-point only,Survivors only,Discharged only,Yes,Both,All,Both,63,
1/1/20,2/25/20,55,Subgroup,diabetic - non survivors,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,Both,Severe/Critical Only,Both,74.5,
1/10/20,1/24/20,14,Top-level,All,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,All,Non-ventilation only,50,46.17
1/10/20,1/24/20,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,65,65
1/10/20,1/24/20,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Severe/Critical Only,Non-ventilation only,66,66
1/10/20,1/24/20,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,37,37
1/10/20,1/24/20,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,36,36
1/10/20,1/24/20,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,10,10
1/10/20,1/24/20,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,63,63
1/1/20,2/15/20,45,Top-level,All,Positive only,End-point only,Non-Survivors only,Discharged only,Yes,,Severe/Critical Only,Both,71,
1/1/20,2/15/20,45,Subgroup,<=3d course of disease group,Positive only,End-point only,Non-Survivors only,Discharged only,Yes,,Severe/Critical Only,Both,72,
1/1/20,2/15/20,45,Subgroup,<=3d course of disease group,Positive only,End-point only,Non-Survivors only,Discharged only,Yes,,Severe/Critical Only,Both,71,
1/26/20,2/18/20,23,Subgroup,Non-survivors,Positive only,End-point only,Non-Survivors only,,Yes,,Severe/Critical Only,Both,65,70.7
1/16/20,2/3/20,18,Top-level,All,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,57,
1/16/20,2/3/20,18,Subgroup,Nonsevere,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,,51.5,
1/16/20,2/3/20,18,Subgroup,Severe,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,,64,
1/21/20,2/14/20,24,Top-level,All,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,ΝΑ,Severe/Critical Only,,69.22,69.22
3/1/20,3/23/20,22,Top-level,All,Positive only,End-point and active,Both,,,,,,34,
1/20/20,2/22/20,33,Top-level,All,Positive only,End-point and active,Both,Both,No,Both,All,Both,53,
1/20/20,2/22/20,33,Subgroup,Hospitalized patients,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,55,
,,,,,,,,,,,,,,
1/2/20,2/12/20,41,Top-level,All,Positive only,End-point only,Both,Discharged only,Yes,ΝΑ,All,Both,55,
1/2/20,2/12/20,41,Top-level,All,Positive only,End-point only,Both,Discharged only,Yes,ΝΑ,All,Both,49,
1/2/20,2/12/20,41,Top-level,All,Positive only,End-point only,Both,Discharged only,Yes,ΝΑ,All,Both,61,
1/28/20,2/18/20,21,Top-level,All,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,32.5,
1/28/20,2/18/20,21,Subgroup,Symptomatic,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,53,
1/28/20,2/18/20,21,Subgroup,Asymptomatic,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,32,
1/14/20,2/13/20,30,Top-level,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,73,71.88
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,55,55
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,62,62
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,81,81
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,72,72
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,83,83
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,70,70
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,73,73
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,74,74
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,82,82
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,78,78
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,78,78
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,67,67
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,94,94
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,69,69
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,90,90
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,75,75
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,56,56
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,59,59
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,56,56
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,74,74
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,55,55
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,64,64
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,74,74
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,56,56
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,100,100
1/20/20,2/11/20,22,Top-level,All,Positive only,End-point only,Survivors only,Discharged only,Yes,ΝΑ,All,Both,45,
1/20/20,2/11/20,22,Subgroup,Non-severe,Positive only,End-point only,Survivors only,Discharged only,Yes,ΝΑ,Mild only,Non-ventilation only,44,
1/20/20,2/11/20,22,Subgroup,Severe,Positive only,End-point only,Both,Discharged only,Yes,ΝΑ,Severe/Critical Only,Both,52,
1/1/20,2/10/20,40,Top-level,Patients with pneumonia,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,All,,45,
1/1/20,2/10/20,40,Subgroup,Severe pneumonia,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,Severe/Critical Only,,70,
1/1/20,2/10/20,40,Subgroup,Non-severe pneumonia,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,All,,35,
1/25/20,2/23/20,29,Top-level,All,Positive only,End-point and active,Survivors only,Both,Yes,ΝΑ,All,,26.2,
