ID,SUB_ID,Country,Province/State,Study Pop Size (N),Proportion of values entered in row (%),Paper Title,Journal,Author,Source,Language,Peer-Reviewed? (As of 2 April 2020),Study Type: Observational or Randomized Clinical Trial (RCT)?,Study start date (mm/dd/yyyy),Study end date (mm/dd/yyyy),Study length (days),Overall study population or subgroup?,Subgroup,Positive/negative cases,End-point vs Active,Survivors,Discharged,Contains Any Treatment?,ICU vs. non-ICU,Severity,Ventilation,Median Age,Mean Age,Age SD,Age LQ,Age UQ,% Healthcare Worker,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Exposure history (%),Exposure - Wuhan Travel (%),Exposure - Personal Contact (%),Incubation period (days) - Mean,Incubation period (days) - Median,Incubation period (days) - LQ,Incubation period (days) -  Higher Quartile,Time From Symptoms Appearance to Hospitalization (days) - Mean,Time From Symptoms Appearance to Hospitalization (days) - Median,Time From Symptoms Appearance to Hospitalization (days) - LQ,Time From Symptoms Appearance to Hospitalization (days) - UQ,Smoking history,Current drinker,BMI,Obesity,Any Comorbidity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever (temperature ≥37·3°C),Average temperature (celsius),Max temperature (celsius),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Disease Severity General,Disease Severity Severe,Disease Severity Critical,"Imaging Findings Available? (yes=1, no=0)",White Blood Cell Count (10^9/L) - Median,White Blood Cell Count (10^9/L) - LQ,White Blood Cell Count (10^9/L) - UQ,Lymphocyte Count (10^9/L) - Median,Lymphocyte Count (10^9/L) - LQ,Lymphocyte Count (10^9/L) - UQ,CD4+ T Lymphocyte (Count),CD8+ T Lymphocyte (Count),Platelet Count (10^9/L) - Median,Platelet Count (10^9/L) - LQ,Platelet Count (10^9/L) - UQ,Neutrophil Count (10^9/L) - Median,Neutrophil Count (10^9/L) - LQ,Neutrophil Count (10^9/L) - UQ,Hemoglobin (g/L) - Median,Hemoglobin (g/L) - LQ,Hemoglobin (g/L) - UQ,Hematocrit (%),Albumin (g/L),Alanine Aminotransferase (U/L),Aspartate Aminotransferase (U/L),Total Bilirubin (umol/L) - Median,Total Bilirubin (umol/L) - LQ,Total Bilirubin (umol/L) - UQ,Blood Urea Nitrogen (mmol/L),Creatinine (μmol/L),Creatine Kinase (U/L),C-Reactive Protein (mg/L),Gamma-Glutamyl Transferase (U/L),Interleukin-6 (pg/mL),Procalcitonin (ng/mL),D-Dimer (mg/L),Prothrombin Time (s),Antibiotic,Antiviral (Any),Uses Kaletra (lopinavir–ritonavir),Uses Favipiravir,Uses Tamiflu (oseltamivir),Uses Remdesivir,Uses umif+lop-rit,Uses Arbidol (umifenovir),Uses hydroxychloroquine and/or chloroquine,"Corticosteroid (including Glucocorticoid, Methylprednisolone)",Intravenous immunoglobin,Nasal cannula,High-flow nasal cannula oxygen therapy,Oxygen therapy,Noninvasive mechanical ventilation,Invasive mechanical ventilation,ECMO,Renal replacement therapy,Interferon Alpha-1b,Thymalfasin and/or Thymosin,Sepsis,Respiratory failure or ARDS,Respiratory failure,ARDS,Hypoxemia,Heart failure,Septic shock / shock,Liver dysfunction,Coagulopathy,Acute cardiac injury,Acute kidney injury (AKI),Secondary infection/ Bacterial infection,Hypoproteinaemia,Acidosis,Hospital admission (%),ICU admission,Discharged (%),"ICU length of stay, days","Hospital length of stay, days",Days to Viral Clearance (Median),Mortality,Projected Mortality (accounting for patients not currently discharged)
25,0,USA,Washington,21,28.65%,Characteristics and Outcomes of 21 Critically Ill Patients With COVID-19 in Washington State,JAMA,Arentz et al.,https://jamanetwork.com/journals/jama/fullarticle/2763485,English,Yes,Observational,2/20/20,3/5/20,14,Top-level,General,Positive only,End-point and active,Both,Both,Yes,ICU only,All,NA,,70,,,,,52%,,,,,,,,,,,,,,,,,,,,,86%,,33.30%,,33.30%,,,,47.60%,42.90%,52%,37.6,39.2,,48%,76%,,,,,,,,,,,,,,,,,1,9.37,,,0.89,,,,,215,,,,,,114,,,,,26.5,34,,,,,,95,,,,,,,,,,,,,,,,,,,4.80%,,19%,71%,,,,,,,,,,,,14.30%,,,19.10%,19.10%,,,1,1,0.1,,,,0.67,0.88
26,0,Singapore,Singapore,18,43.26%,Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,JAMA,Young et al.,https://jamanetwork.com/journals/jama/fullarticle/2762688,English,Yes,Observational,1/23/20,2/25/20,33,Top-level,General,Positive only,End-point and active,Survivors only,Both,Yes,Both,All,Both,47,,,31,73,0%,50%,0%,0%,100%,0%,0%,100%,100%,,,,,,,,,,,,,,28%,28%,11%,,,,,,,,72%,37.7,39.6,,83%,11%,,,,,,17.00%,22.20%,,61%,,,,,,,,1,4.6,1.7,6.3,1.2,0.8,1.7,,,159,116,217,2.7,,,135,11.7,17.2,,,,,,,,,,,16.3,,,,,,27.78%,27.78%,27.78%,0%,27.78%,,0%,0%,0%,0%,,,,33%,6%,,,,,,,,,,,,,,,,,,,,1,0.11,1,0.67,18,12.5,0,0
26,1,Singapore,Singapore,12,42.70%,Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,JAMA,Young et al.,https://jamanetwork.com/journals/jama/fullarticle/2762688,English,Yes,Observational,1/23/20,2/25/20,33,Subgroup,Did not require supplemental oxygen,Positive only,End-point and active,Survivors only,Both,Yes,Both,All,Both,37,,,31,56,0%,58%,0%,0%,100%,0%,0%,100%,100%,,,,,,,,,,,,,,8%,8%,8.30%,,,,,,,,58%,38.3,39.6,,83%,8%,,,,,,25.00%,,,67.00%,,,,,,,,1,4.6,1.7,6.3,1.2,0.8,1.6,,,159,128,213,2.8,,,139,11.7,17.2,,,,,,,,,,,11.1,,,,,,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,,,0%,6%,,,,,,,,,,,,,,,,,,,,1,0,1,0,19.5,14.5,0,0
26,2,Singapore,Singapore,6,43.26%,Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,JAMA,Young et al.,https://jamanetwork.com/journals/jama/fullarticle/2762688,English,Yes,Observational,1/23/20,2/25/20,33,Subgroup,Required supplemental oxygen,Positive only,End-point and active,Survivors only,Both,Yes,Both,All,Both,56,,,47,73,0%,33%,0%,0%,100%,0%,0%,100%,100%,,,,,,,,,,,,,,67%,67%,16.70%,,,,,,,,100%,37.3,38.1,,83%,17%,,,,,,0.00%,,,50%,,,,,,,,1,3.4,2.6,5.8,1.1,0.8,1.7,,,156,116,217,1.8,,,132,11.7,14,,,,,,,,,,,65.6,,,,,,83.33%,83.33%,83.33%,0%,83.33%,,0%,0%,0%,0%,,,,100%,6%,,,,,,,,33.33%,,,,,,,,,,,,1,0.33,1,2,14.5,10.5,0,0
27,0,Italy,Nationwide,355,23.60%,Case-Fatality Rate and Characteristics of Patients Dying in Relation to COVID-19 in Italy,JAMA,Onder et al.,https://jamanetwork.com/journals/jama/fullarticle/2763667?appId=scweb,English,Yes,Observational,2/15/20,3/17/20,31,Top-level,Non-survivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,80,79.5,,,,,70%,100%,0%,0%,0%,0%,,,,,,,,,,,,,,,,98.20%,,35.50%,30%,24.50%,20.30%,,,,10%,,,,,,,,,,,,,,,,,,,0%,100%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,0,,,,1,1
28,0,China,Wuhan,201,51.69%,"Risk Factors Associated With Acute Respiratory Distress Syndrome and Death in Patients With Coronavirus Disease 2019 Pneumonia in Wuhan, China",JAMA,Wu et al.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2763184,English,Yes,Observational,12/25/19,1/26/20,32,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,51,,,43,60,,63.70%,0%,0%,100%,0%,0%,49.30%,49.30%,,,,,,,,,,,,,,,19.40%,10.90%,4%,2.50%,0.50%,4%,,1%,7%,93.50%,38.8,,,81.10%,,,,32.30%,32.30%,,,,,,,,,,,,,0,5.94,3.37,7.18,0.91,0.6,1.29,353,236,180,137,241.5,4.47,,,,,,,32.75,31,33,11.45,9,14.75,4.8,72.2,,42.4,,6.98,,0.61,11.1,97.50%,84.60%,14.90%,0%,66.70%,,0%,0%,0%,0%,34.80%,48.72%,,,30.34%,2.51%,0.50%,0.00%,10.90%,,,,,41.80%,,,,,,,,,,,1,0.26,0.72,,13,,0.22,0.23
28,1,China,Wuhan,84,44.94%,"Risk Factors Associated With Acute Respiratory Distress Syndrome and Death in Patients With Coronavirus Disease 2019 Pneumonia in Wuhan, China",JAMA,Wu et al.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2763184,English,Yes,Observational,12/25/19,1/26/20,32,Subgroup,ARDS,Positive only,End-point and active,Both,Both,Yes,Both,Severe/Critical Only,Ventilation only,58.5,,,50,69,,71.40%,0%,0%,100%,0%,0%,,,,,,,,,,,,,,,,,27.40%,19%,6%,,,,,,,92.90%,39,,,81%,,,,32.10%,32.10%,,,,,,,,,,,,,0,5.02,3.37,7.18,1.08,0.72,1.45,371,234,178,140,239.5,3.06,,,,,,,33.7,27,30,10.5,8.6,13.65,4.3,68.7,,23.4,,6.29,,0.52,10.6,98.80%,76.20%,,0%,,,0%,0%,0%,0%,,20.20%,,,72.60%,6%,1.20%,0%,,,,,,100%,,,,,,,,,,,1,0.63,0.17,,,,0.52,0.76
28,2,China,Wuhan,117,44.94%,"Risk Factors Associated With Acute Respiratory Distress Syndrome and Death in Patients With Coronavirus Disease 2019 Pneumonia in Wuhan, China",JAMA,Wu et al.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2763184,English,Yes,Observational,12/25/19,1/26/20,32,Subgroup,Non-ARDS,Positive only,End-point and active,Survivors only,Both,Yes,Both,All,Non-ventilation only,48,,,40,54,,58.10%,0%,0%,100%,0%,0%,,,,,,,,,,,,,,,,,13.70%,5.10%,2.60%,,,,,,,94.00%,38.6,,,82.20%,,,,32.50%,32.50%,,,,,,,,,,,,,0,8.32,5.07,11.2,0.67,0.49,0.99,241,157.5,187,124.5,252.5,7.04,,,,,,,30.4,35,38,12.9,9.5,17.05,5.8,74.6,,83,,7.39,,1.16,11.7,96.60%,90.60%,,0%,,,0%,0%,0%,0%,,69.20%,,,0%,0%,0%,0%,,,,,,0%,,,,,,,,,,,1,0,1,,,,0,0
30,1,China,Xi'an,17,34.83%,"Meplazumab treats COVID-19 pneumonia: an open-labelled, concurrent controlled add-on clinical trial",medRxiv,Bian et al.,https://www.medrxiv.org/content/10.1101/2020.03.21.20040691v1.full.pdf,English,No,Unknown,2/3/20,2/10/20,7,Subgroup,Meplazumab,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,NA,51,,,49,67,,64.70%,0%,0%,100%,0%,0%,,58.80%,5.90%,,,,,,,,,5.90%,,,,52.90%,35.30%,17.60%,5.90%,5.90%,,,,,,94.10%,,37.7,41.20%,52.90%,58.80%,,5.90%,58.80%,58.80%,,11.80%,,,,,,,,23.50%,35.30%,41.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,0.00%,0.00%,,0.00%,0.00%,0.00%,94.10%,0%,,,,,,,,100%,,,,,,,,,,,,,,,,1,,0.76,,,,,
30,2,China,Xi'an,11,34.83%,"Meplazumab treats COVID-19 pneumonia: an open-labelled, concurrent controlled add-on clinical trial",medRxiv,Bian et al.,https://www.medrxiv.org/content/10.1101/2020.03.21.20040691v1.full.pdf,English,No,Unknown,2/3/20,2/10/20,7,Subgroup,No meplazumab,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,NA,64,,,43,67,,45.50%,0%,0%,100%,0%,0%,,36.40%,18.20%,,,,,,,,,9.10%,,,,36.40%,27.30%,0%,18.20%,0,,,,,,100%,,37.7,45.50%,63.60%,63.60%,,18.20%,45.50%,45.50%,,9.10%,,,,,,,,36.40%,36.40%,27.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.90%,100%,100%,0.00%,0.00%,,0.00%,0.00%,0.00%,63.60%,0%,,,,,,,,100%,,,,,,,,,,,,,,,,1,,0.36,,,,,
31,0,China and outside China,,507,19.66%,Early epidemiological analysis of the coronavirus disease 2019 outbreak based on crowdsourced data: a population- level observational study,Lancet,Sun et al.,https://www.thelancet.com/action/showPdf?pii=S2589-7500%2820%2930026-1,English,Yes,Observational,1/20/20,1/31/20,11,Top-level,General,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,,46,,35,60,,55%,0%,0%,100%,0%,0%,,,,4.5,4.8,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.08,
32,0,China,Beijing,262,23.03%,Characteristics of COVID-19 infection in Beijing,Journal of Infection,Tian et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301018,English,Yes,Observational,1/20/20,2/10/20,21,Top-level,General,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,47.5,,,,,,48.50%,0%,0%,100%,0%,0%,92%,40.50%,49.20%,,6.7,,,,,,,,,,,,,,,,,,,,,82.10%,,37.7,,45.80%,6.90%,6.50%,,,26.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,0.17,,,,0.01,0.05
32,1,China,Beijing,46,23.03%,Characteristics of COVID-19 infection in Beijing,Journal of Infection,Tian et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301018,English,Yes,Observational,1/20/20,2/10/20,21,Subgroup,Severe,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,NA,61.4,,,,,,56.50%,0%,0%,100%,0%,0%,89.10%,28.30%,56.50%,,7.5,,,,,,,,,,,,,,,,,,,,,80.40%,,37.7,,54.30%,32.60%,6.50%,,,32.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,0.04,,,,0.07,0.6
32,2,China,Beijing,216,23.03%,Characteristics of COVID-19 infection in Beijing,Journal of Infection,Tian et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301018,English,Yes,Observational,1/20/20,2/10/20,21,Subgroup,Common,Positive only,End-point and active,Survivors only,Both,No,ΝΑ,Mild only,NA,44.5,,,,,,46.80%,0%,0%,100%,0%,0%,92.60%,43.10%,47.70%,,6.5,,,,,,,,,,,,,,,,,,,,,82.40%,,37.7,,44.00%,1.40%,6.50%,,,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.2,,,,0,0
35,1,China,Anhui,6,21.35%,CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity,European Journal of Radiology,Liu et al.,https://www.sciencedirect.com/science/article/pii/S0720048X20301303,English,Yes,Observational,1/21/20,2/3/20,13,Subgroup,Mild,Positive only,End-point and active,,Both,Yes,,Mild only,,,29.2,10.9,,,,50%,0%,0%,100%,0%,0%,,67%,33%,,,,,,,,,,,,,,,,,,,,,,,83%,,,,67%,,0%,17%,,67%,,,,0,11%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,na,,,,0,
35,2,China,Anhui,43,21.35%,CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity,European Journal of Radiology,Liu et al.,https://www.sciencedirect.com/science/article/pii/S0720048X20301303,English,Yes,Observational,1/21/20,2/3/20,13,Subgroup,Common,Positive only,End-point and active,,Both,Yes,,Mild only,,,33.4,12.2,,,,65%,0%,0%,100%,0%,0%,,67%,28%,,,,,,,,,,,,,,,,,,,,,,,93%,,,,84%,,11%,51%,,72%,,,,19%,7%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,na,,,,0,
35,3,China,Anhui,21,21.35%,CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity,European Journal of Radiology,Liu et al.,https://www.sciencedirect.com/science/article/pii/S0720048X20301303,English,Yes,Observational,1/21/20,2/3/20,13,Subgroup,Severe,Positive only,End-point and active,,Both,Yes,,Severe/Critical Only,,,44.2,12,,,,48%,0%,0%,100%,0%,0%,,85%,10%,,,,,,,,,,,,,,,,,,,,,,,95%,,,,86%,,10%,67%,,81%,,,,43%,10%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,na,,,,0,
35,4,China,Anhui,3,20.79%,CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity,European Journal of Radiology,Liu et al.,https://www.sciencedirect.com/science/article/pii/S0720048X20301303,English,Yes,Observational,1/21/20,2/3/20,13,Subgroup,Critical,Positive only,End-point and active,,Both,Yes,,Severe/Critical Only,,,63,21.2,,,,0%,0%,0%,100%,0%,0%,,100%,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,67%,,33%,67%,,100%,,,,100%,0%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,na,,,,0,
37,1,China,Beijing,9,20.22%,Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2,Journal of Infection,Xu et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301006,English,Yes,Observational,1/1/20,2/21/20,51,Subgroup,Mild,Positive only,Active only,Both,Both,No,Non-ICU only,Mild only,Non-ventilation only,,,,,,,78%,0%,0%,100%,0%,0%,,89%,11%,,,,,,,,,,,,,,,,,,,,,,,67%,,,,33%,,,11%,0%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,na,,,,0,
37,2,China,Beijing,28,20.22%,Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2,Journal of Infection,Xu et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301006,English,Yes,Observational,1/1/20,2/21/20,51,Subgroup,Moderate,Positive only,Active only,Both,Both,No,Non-ICU only,Mild only,Non-ventilation only,,,,,,,54%,0%,0%,100%,0%,0%,,57%,39%,,,,,,,,,,,,,,,,,,,,,,,96%,,,,39%,,,14%,14%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,na,,,,0,
37,3,China,Beijing,10,20.22%,Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2,Journal of Infection,Xu et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301006,English,Yes,Observational,1/1/20,2/21/20,51,Subgroup,Severe,Positive only,Active only,Both,Both,No,Non-ICU only,Severe/Critical Only,Non-ventilation only,,,,,,,70%,0%,0%,100%,0%,0%,,60%,40%,,,,,,,,,,,,,,,,,,,,,,,80%,,,,40%,,,10%,30%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,na,,,,0,
37,4,China,Beijing,3,20.22%,Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2,Journal of Infection,Xu et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301006,English,Yes,Observational,1/1/20,2/21/20,51,Subgroup,Critically Severe,Positive only,Active only,Both,Both,No,ICU only,Severe/Critical Only,Both,,,,,,,0%,0%,0%,100%,0%,0%,,0%,67%,,,,,,,,,,,,,,,,,,,,,,,67%,,,,67%,,,33%,33%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,na,,,,0,
38,0,China,Shanghai,249,43.26%,"Clinical progression of patients with COVID-19 in Shanghai, China",Journal of Infection,Chen et al. ,https://www.sciencedirect.com/science/article/pii/S0163445320301195,English,Yes,Observational,1/20/20,2/6/20,17,Top-level,General,Positive only,End-point and active,Both,Both,No,Both,All,NA,51,51,,36,64,,50.60%,0%,0%,100%,0%,0%,,,,,,,,4,4,2,7,,,,,36.10%,21.70%,,,,0.40%,,,,16.40%,87.10%,,,,36.50%,7.60%,11.20%,,,15.70%,,3.20%,,3.20%,6.40%,,,,2.80%,10%,5%,5%,1,4.71,3.8,5.86,1.12,0.79,1.49,431,256.54,,,,,,,,,,,40.8,23,25,,,,,12,,12,,,,,,,,,0%,0%,,,,0%,12.90%,,,,,,,,,,,,,,3.20%,,,,,,,,,,,1,0.09,0.86,31,16,11,0.01,0.01
39,1,China,Zhejiang,72,50.56%,"Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings",Intl Journal of Infectious Disease,Zhang et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301727,English,Yes,Observational,1/17/20,2/8/20,22,Subgroup,Normal Imaging Findings,Positive only,Active only,Both,Both,Yes,ΝΑ,All,NA,,34.9,14.2,,,,45.80%,0%,0%,100%,0%,0%,,91.70%,8.30%,,,,,,,,,,,,,16.70%,5.60%,5.60%,0%,0%,0%,,,0%,4.20%,66.70%,,,,45.80%,0,2.80%,23.60%,7%,12.50%,,11.10%,,,23.60%,,,,,,,,1,5.42,3.42,7.42,1.39,0.78,2,,,198.44,140,256.88,3.48,,,141.04,125.42,156.66,,42.53,25.53,26.67,9.11,4.25,13.97,3.9,65.54,62.5,2.3,6.57,,0.05,,,,77.80%,,0%,0%,,,,0%,0%,,11.10%,,,0,0,0%,0%,,0%,,,,0%,,,,8.30%,,,0%,,,,1,0,na,,,,,
39,2,China,Zhejiang,573,50.56%,"Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings",Intl Journal of Infectious Disease,Zhang et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301727,English,Yes,Observational,1/17/20,2/8/20,22,Subgroup,Abnormal Imaging Findings,Positive only,Active only,Both,Both,Yes,ΝΑ,All,NA,,46.65,13.82,,,,51.50%,0%,0%,100%,0%,0%,,81.00%,19%,,,,,,,,,,,,,28.80%,16.80%,7.70%,1%,0%,1%,,,1%,6.50%,85.90%,,,,68.40%,4.50%,11.30%,36%,11.50%,19%,,7.90%,,,14%,,,,,,,,1,5.01,3.14,6.88,1.23,0.71,1.75,,,185.22,122.8,247.64,3.29,,,138.09,121.62,154.56,,41.02,29.37,30.08,11.26,3.22,19.3,4.04,69.17,73,8.8,6.62,,0.05,,,,85.20%,,0%,0%,,,,0%,13.40%,,43.60%,,,1.60%,1.60%,0%,0%,,0%,,,,2.40%,,,,13.10%,,,0.30%,,,,1,0.01,na,,,,,
40,1,China,Changzhou,15,40.45%,Clinical features and dynamics of viral load in imported and non-imported patients with COVID-19,Intl Journal of Innfectious Diseases,Xu et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301417,English,Yes,Observational,1/23/20,2/18/20,26,Subgroup,Imported contact,Positive only,End-point only,Both,Both,No,ΝΑ,Mild only,NA,35,,,29,51,,66.70%,0%,0%,100%,0%,0%,,,,,8,4,10,,,,,,,,,0%,,0%,0%,0%,,0%,,0%,0%,73.30%,,,,33.30%,13.30%,,20%,26.70%,6.70%,,13.30%,,,,,,,,100%,,,1,5.2,4.6,6.3,1.5,0.9,2.1,399,287,,,,,,,,,,,,22.9,19,,,,,,,4.4,,,,,,,100%,0%,0%,0%,,0%,0%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,14,14,0,0
40,2,China,Changzhou,17,40.45%,Clinical features and dynamics of viral load in imported and non-imported patients with COVID-19,Intl Journal of Innfectious Diseases,Xu et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301417,English,Yes,Observational,1/23/20,2/18/20,26,Subgroup,Secondary contact,Positive only,End-point only,Both,Both,No,ΝΑ,Mild only,NA,37,,,24,47.5,,41.20%,0%,0%,100%,0%,0%,,,,,8,4,11,,,,,,,,,23.50%,,5.90%,11.80%,0%,,0.00%,,5.90%,0%,58.80%,,,,52.90%,5.90%,,35.30%,11.80%,0%,,5.90%,,,,,,,,100%,,,1,4.8,3.4,6.2,1.1,1,1.9,375,267,,,,,,,,,,,,13.5,17,,,,,,,2.2,,,,,,,100%,0%,0%,0%,,0%,0%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,14,14,0,0
40,3,China,Changzhou,19,40.45%,Clinical features and dynamics of viral load in imported and non-imported patients with COVID-19,Intl Journal of Innfectious Diseases,Xu et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301417,English,Yes,Observational,1/23/20,2/18/20,26,Subgroup,Terciary contact,Positive only,End-point only,Both,Both,No,ΝΑ,Mild only,NA,53,,,35,65,,42.10%,0%,0%,100%,0%,0%,,,,,12,9,14,,,,,,,,,42.10%,,15.80%,15.80%,5.30%,,5%,,0%,5.30%,68.40%,,,,47.40%,5.30%,,21.10%,10.50%,10.50%,,10.50%,,,,,,,,100%,,,1,3.9,3.1,5.7,1.3,0.9,1.6,374,303,,,,,,,,,,,,25.2,22,,,,,,,7,,,,,,,100%,0%,0%,0%,,0%,0%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,11,11,0,0
41,0,China,Xiaogan,114,27.53%,Imaging manifestations and diagnostic value of chest CT of coronavirus disease 2019 (COVID-19) in the Xiaogan area,COVID-19) in the Xiaogan area,Wang et al.,https://www.sciencedirect.com/science/article/pii/S000992602030088X,English,Yes,Observational,1/25/20,2/9/20,15,Top-level,General,Positive only,Active only,Both,Both,No,ΝΑ,Mild only,NA,53,,,23,78,,50.90%,0%,0%,100%,0%,0%,78.90%,,,,,,,,,,,,,,,52.60%,28.90%,13.20%,6.10%,4.40%,0.90%,,,,5.30%,93.90%,,38.6,,79.80%,23.70%,,7.90%,,,,2.70%,,,5.30%,,,,,100.00%,0.00%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,na,,,,,
42,0,China,Shandong,537,14.61%,山东省新型冠状病毒肺炎患者 537 例临床特征与救治效果,山东大学学报(医学版),周生余，王春亭，张伟，王锡明，董亮,,Chinese,,,1/19/20,2/15/20,27,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,,,,,,,,55.70%,0%,0%,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,87.90%,,,,35.90%,,,,,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
